id,question,answer
552,"What does the following mean: '²Turning the dynamo slowly and faster, observe the brightness of the bulb.'?","²Turning the dynamo slowly and faster, observe the brightness of the bulb."
553,What does the following mean: '²Discuss the reason for the observation.'?,²Discuss the reason for the observation.
554,"What does the following mean: 'A bicycle dynamo or a laboratory Connect the torch bulb to the terminals of the Turning the dynamo slowly and faster, observe the Figure 3.18 It will be clear that the amount of electricity generated increased with the rotating speed of the dynamo.'?","A bicycle dynamo or a laboratory Connect the torch bulb to the terminals of the Turning the dynamo slowly and faster, observe the Figure 3.18 It will be clear that the amount of electricity generated increased with the rotating speed of the dynamo."
555,What does the following mean: 'Activity 3.12 the rotating speed of the dynamo.'?,Activity 3.12 the rotating speed of the dynamo.
556,"What does the following mean: 'Making a simple dynamo You will need:- About 4 m of insulated copper wire (32 SWG), a bar magnet, a large cork, about 10 pieces of iron wires (each 15 cm long), a galvanometer, cellotape, a bicycle spoke Method:- ²Bend all the 10 iron wires in U shape, where each arm is about 2 cm long.'?","Making a simple dynamo You will need:- About 4 m of insulated copper wire (32 SWG), a bar magnet, a large cork, about 10 pieces of iron wires (each 15 cm long), a galvanometer, cellotape, a bicycle spoke Method:- ²Bend all the 10 iron wires in U shape, where each arm is about 2 cm long."
557,What does the following mean: '²Keep all the bent wires in a single pile to make a bundle of them.'?,²Keep all the bent wires in a single pile to make a bundle of them.
558,"What does the following mean: '²Wind the insulated copper wire around the bundle of iron rods, as shown in the Figure 3.19, to make a coil.'?","²Wind the insulated copper wire around the bundle of iron rods, as shown in the Figure 3.19, to make a coil."
559,"What does the following mean: '²Clean both ends of the coil and connect them to the galvanometer ²Place the bar magnet, fitted to the large piece of cork, near the coil and turn it.'?","²Clean both ends of the coil and connect them to the galvanometer ²Place the bar magnet, fitted to the large piece of cork, near the coil and turn it."
560,What does the following mean: '²Observe the movement of the indicator of galvanometer.'?,²Observe the movement of the indicator of galvanometer.
561,"What does the following mean: 'Science | Genaration of Electricity 49What you have made, is a simple dynamo.'?","Science | Genaration of Electricity 49What you have made, is a simple dynamo."
562,What does the following mean: 'Let us consider how to develop it further.'?,Let us consider how to develop it further.
563,What does the following mean: 'Make the following changes in the dynamo you made.1.'?,Make the following changes in the dynamo you made.1.
564,What does the following mean: 'Increase the number of turns of the coil.'?,Increase the number of turns of the coil.
565,What does the following mean: 'Turn the magnet and note down the amount of movement of the galvanometer indicator.'?,Turn the magnet and note down the amount of movement of the galvanometer indicator.
566,What does the following mean: 'Use a more powerful magnet and repeat the activity.'?,Use a more powerful magnet and repeat the activity.
567,What does the following mean: 'Can you give reasons for your observations?'?,Can you give reasons for your observations?
568,What does the following mean: 'The efficiency of the dynamo can be increased by increasing the number of turns of the coil and the power of the magnet.'?,The efficiency of the dynamo can be increased by increasing the number of turns of the coil and the power of the magnet.
569,"What does the following mean: '3.2 Direct current and alternating current Activity 3.13 You will need:- Two dry cells, a small fan, a bicycle dynamo, a few pieces of connecting wire, a small DC motor Method:- ²Connect the dry cell to the small DC motor as shown in the Figure 3.20.'?","3.2 Direct current and alternating current Activity 3.13 You will need:- Two dry cells, a small fan, a bicycle dynamo, a few pieces of connecting wire, a small DC motor Method:- ²Connect the dry cell to the small DC motor as shown in the Figure 3.20."
570,What does the following mean: 'Fit the small fan to the motor.'?,Fit the small fan to the motor.
571,What does the following mean: '²Record the observations.'?,²Record the observations.
572,What does the following mean: '²Connect the dynamo instead of the dry cell.'?,²Connect the dynamo instead of the dry cell.
573,What does the following mean: '²Record the observations.'?,²Record the observations.
574,What does the following mean: 'Figure 3.20 You may observe that the small fan rotates when dry cells are connected.'?,Figure 3.20 You may observe that the small fan rotates when dry cells are connected.
575,What does the following mean: 'When the dynamo is connected the fan vibrates only (does not rotate).'?,When the dynamo is connected the fan vibrates only (does not rotate).
576,What does the following mean: 'Let us do Activity 3.13 to study what happens when a motor and a dynamo is connected to a motor'?,Let us do Activity 3.13 to study what happens when a motor and a dynamo is connected to a motor
577,"What does the following mean: 'Science | Genaration of Electricity 50Activity 3.14 You will need :- Two dry cells, two LEDs of different colours, a center-zero milliammeter, a bicycle dynamo, a few pieces of connecting wire Method:- ²Connect two LEDs and the milliammeter as shown in the figure 3.21.'?","Science | Genaration of Electricity 50Activity 3.14 You will need :- Two dry cells, two LEDs of different colours, a center-zero milliammeter, a bicycle dynamo, a few pieces of connecting wire Method:- ²Connect two LEDs and the milliammeter as shown in the figure 3.21."
578,What does the following mean: '²Connect two dry cells to X and Y ends as shown in the figure.'?,²Connect two dry cells to X and Y ends as shown in the figure.
579,What does the following mean: '²Record the observations.'?,²Record the observations.
580,What does the following mean: '²Change the terminals of the dry cells.'?,²Change the terminals of the dry cells.
581,What does the following mean: '²Record the new observations.'?,²Record the new observations.
582,"What does the following mean: '²Instead of the dry cells, connect the dynamo to X and Y ends.'?","²Instead of the dry cells, connect the dynamo to X and Y ends."
583,What does the following mean: '²Record the observations when the dynamo is rotated.'?,²Record the observations when the dynamo is rotated.
584,"What does the following mean: '²Discuss the conclusions that you can arrive, according to the observations.'?","²Discuss the conclusions that you can arrive, according to the observations."
585,"What does the following mean: 'Figure 3.21 mA mAmAx YxY x Y Discuss the answers for the following questions, based on the Activity 3.14.1.'?","Figure 3.21 mA mAmAx YxY x Y Discuss the answers for the following questions, based on the Activity 3.14.1."
586,What does the following mean: 'Why only one LED illuminates and the indicator of milliammeter deflects only in one direction in all instances when dry cells are connected?'?,Why only one LED illuminates and the indicator of milliammeter deflects only in one direction in all instances when dry cells are connected?
587,"What does the following mean: 'Discuss the reason, why two LEDs illuminate alternately and the direction of the movement of milliammeter indicator changes constantly, when dynamo is connected and in rotating?'?","Discuss the reason, why two LEDs illuminate alternately and the direction of the movement of milliammeter indicator changes constantly, when dynamo is connected and in rotating?"
588,"What does the following mean: 'Science | Genaration of Electricity 51The current flows to the same direction only, when dry cells are connected.'?","Science | Genaration of Electricity 51The current flows to the same direction only, when dry cells are connected."
589,"What does the following mean: 'But the direction of the current has changed alternately, when dynamo is connected.'?","But the direction of the current has changed alternately, when dynamo is connected."
590,What does the following mean: '²The current that flows to one direction is known as direct current (DC).'?,²The current that flows to one direction is known as direct current (DC).
591,What does the following mean: '²All types of electrical cells and batteries generate direct current (DC).'?,²All types of electrical cells and batteries generate direct current (DC).
592,What does the following mean: '²The current that changes the direction with time is known as alternating current (AC).'?,²The current that changes the direction with time is known as alternating current (AC).
593,What does the following mean: '²Most of the dynamos and electric generators generate alternating current (AC).'?,²Most of the dynamos and electric generators generate alternating current (AC).
594,What does the following mean: 'A center-zero ammeter or a galvanometer can be used to identify the direction of the current.'?,A center-zero ammeter or a galvanometer can be used to identify the direction of the current.
595,"What does the following mean: 'For extra knowledge The pattern of the graphs, when direct current and alternating current are plotted against time are given below.'?","For extra knowledge The pattern of the graphs, when direct current and alternating current are plotted against time are given below."
596,What does the following mean: 'Current TimeDirect current (DC) Graph (A)0 Current TimeAlternating current (AC) Graph (B)0 Summary ²Various types of electric sources are used in day-to- day life to obtain electricity.'?,Current TimeDirect current (DC) Graph (A)0 Current TimeAlternating current (AC) Graph (B)0 Summary ²Various types of electric sources are used in day-to- day life to obtain electricity.
597,"What does the following mean: 'They can be mainly named as chemical cells (batteries), dynamos and solar cells.'?","They can be mainly named as chemical cells (batteries), dynamos and solar cells."
598,"What does the following mean: '²Simple cells, dry cells and alkali cells are examples for chemical cells.'?","²Simple cells, dry cells and alkali cells are examples for chemical cells."
599,What does the following mean: '²A battery can be constructed by connecting several cells.'?,²A battery can be constructed by connecting several cells.
600,What does the following mean: 'Science | Genaration of Electricity 52 ²More current can be drawn from a battery than from a single cell.'?,Science | Genaration of Electricity 52 ²More current can be drawn from a battery than from a single cell.
601,What does the following mean: '²Terminals of an electric cell are named as (+) ve and (-) ve.'?,²Terminals of an electric cell are named as (+) ve and (-) ve.
602,What does the following mean: 'Current flows from (+) ve terminal to (-) ve terminal.'?,Current flows from (+) ve terminal to (-) ve terminal.
603,What does the following mean: '²Dynamo consists of a magnet and a conducting coil.'?,²Dynamo consists of a magnet and a conducting coil.
604,What does the following mean: '²Current is generated in the dynamo according to the principle of electromagnetic induction.'?,²Current is generated in the dynamo according to the principle of electromagnetic induction.
605,"What does the following mean: '²Various types of dynamos are used to generate electricity in motor vehicles, bicycles, electric generators and hydro-power stations.'?","²Various types of dynamos are used to generate electricity in motor vehicles, bicycles, electric generators and hydro-power stations."
606,What does the following mean: '²Electricity that flows to the same direction is known as direct current (DC) and that change direction with time is known as alternating current (AC).'?,²Electricity that flows to the same direction is known as direct current (DC) and that change direction with time is known as alternating current (AC).
607,What does the following mean: '²Electric cells generate direct current (DC) while dynamos generate alternating current (AC).'?,²Electric cells generate direct current (DC) while dynamos generate alternating current (AC).
608,What does the following mean: '²The toxicity of disposed chemical cells create a number of issues to man and environment.'?,²The toxicity of disposed chemical cells create a number of issues to man and environment.
609,"What does the following mean: '²Therefore, it should be directed for proper recycling.'?","²Therefore, it should be directed for proper recycling."
610,What does the following mean: 'Copper plate Zinc plate paper soaked in dilute sulphuric acid Exercise 1.'?,Copper plate Zinc plate paper soaked in dilute sulphuric acid Exercise 1.
611,What does the following mean: 'A student constructed the following set-up using copper and zinc sheets of same size.'?,A student constructed the following set-up using copper and zinc sheets of same size.
612,What does the following mean: 'A piece of paper soaked in dilute sulphuric acid was kept between the copper sheet and zinc sheet.'?,A piece of paper soaked in dilute sulphuric acid was kept between the copper sheet and zinc sheet.
613,"What does the following mean: 'Pairs made thus, were placed one over the other as shown in figure above.'?","Pairs made thus, were placed one over the other as shown in figure above."
614,What does the following mean: '(I) Suggest a name for this set-up.'?,(I) Suggest a name for this set-up.
615,What does the following mean: '(II) Name the (+) ve and (-) ve terminals of this.'?,(II) Name the (+) ve and (-) ve terminals of this.
616,What does the following mean: '(III) What can be observed when a coil is connected to terminals A and B ?'?,(III) What can be observed when a coil is connected to terminals A and B ?
617,What does the following mean: 'Give reason for the observations.'?,Give reason for the observations.
618,"What does the following mean: '(IV) Is it a direct current or an alternating current, that can be obtained from the set-up?'?","(IV) Is it a direct current or an alternating current, that can be obtained from the set-up?"
619,"What does the following mean: '(V) Describe briefly, an experiment to confirm your answer for part IV (VI) Draw the diagram in figure above, using symbols.B A'?","(V) Describe briefly, an experiment to confirm your answer for part IV (VI) Draw the diagram in figure above, using symbols.B A"
620,What does the following mean: 'Science | Genaration of Electricity 532.'?,Science | Genaration of Electricity 532.
621,What does the following mean: '(I) Mention three sources of electricity that can be used to overcome present electricity crisis.'?,(I) Mention three sources of electricity that can be used to overcome present electricity crisis.
622,"What does the following mean: '(II) Is the main electricity supplied to houses, a direct current or an alternating current?'?","(II) Is the main electricity supplied to houses, a direct current or an alternating current?"
623,What does the following mean: '(III) Complete the following table which is about electric sources.'?,(III) Complete the following table which is about electric sources.
624,"What does the following mean: 'Instance SourceType of current supplied Direct currentAlternating current 1Lighting the head lamp of a bicycle Dynamo 2Wall clock working on electricity 3Generating electricity in a hydropower station 4Calculator that works when light falls on it 5Starting a car Technical Terms Cell - fldaIh -P»® Battery - negßh -£ØÓ› Dynamo - vhskfudaj - øhÚ÷©õ Electric current - úoHq;a Odrdj - ªß Kmh® Electric generator -úÿ,s ckl hka;%h -ªß ¤Ó¨£õUQ Direct current (D.C) - ir, Odrdj - ÷|º ªß÷Úõmh® Alternating current (A.C)- m%;Hdj¾;l Odrdj-Bh÷»õmh® Bulb holder - n,an fyda,avrh - ªßSªÌ uõ[Q Electromagnetic induction- úoHq;a pqïnl fm%arKh-ªßPõ¢uz yshÀ Lines of magnetic force- pqïnl n, f¾Ld - Põ¢u Âø\U ÷PõkPÒ Solar cell - iQ¾h fldaIh - `›¯U P»® Coil - o`.rh -_¸Ò'?","Instance SourceType of current supplied Direct currentAlternating current 1Lighting the head lamp of a bicycle Dynamo 2Wall clock working on electricity 3Generating electricity in a hydropower station 4Calculator that works when light falls on it 5Starting a car Technical Terms Cell - fldaIh -P»® Battery - negßh -£ØÓ› Dynamo - vhskfudaj - øhÚ÷©õ Electric current - úoHq;a Odrdj - ªß Kmh® Electric generator -úÿ,s ckl hka;%h -ªß ¤Ó¨£õUQ Direct current (D.C) - ir, Odrdj - ÷|º ªß÷Úõmh® Alternating current (A.C)- m%;Hdj¾;l Odrdj-Bh÷»õmh® Bulb holder - n,an fyda,avrh - ªßSªÌ uõ[Q Electromagnetic induction- úoHq;a pqïnl fm%arKh-ªßPõ¢uz yshÀ Lines of magnetic force- pqïnl n, f¾Ld - Põ¢u Âø\U ÷PõkPÒ Solar cell - iQ¾h fldaIh - `›¯U P»® Coil - o`.rh -_¸Ò"
625,What does the following mean: 'Science | Functions of water 55 Science | Functions of water 54Functions of Water 04 4.1 Water as a solvent You already know that the sea water has a salty taste.'?,Science | Functions of water 55 Science | Functions of water 54Functions of Water 04 4.1 Water as a solvent You already know that the sea water has a salty taste.
626,What does the following mean: 'Do you know the reason for this taste?'?,Do you know the reason for this taste?
627,What does the following mean: 'It is because many salts are dissolved in sea water.'?,It is because many salts are dissolved in sea water.
628,What does the following mean: 'All living beings need oxygen to breathe.'?,All living beings need oxygen to breathe.
629,What does the following mean: 'How do fish get oxygen to breath in water?'?,How do fish get oxygen to breath in water?
630,What does the following mean: 'They use oxygen that is dissolved in water.'?,They use oxygen that is dissolved in water.
631,What does the following mean: 'Water acts as a solvent.'?,Water acts as a solvent.
632,What does the following mean: 'All the above phenomena are connected with this special function of water.'?,All the above phenomena are connected with this special function of water.
633,What does the following mean: 'Figure 4.1 Sea water Figure 4.2 Fish living in water Let’s do Activity 4.1 to find out how water is important as a solvent.'?,Figure 4.1 Sea water Figure 4.2 Fish living in water Let’s do Activity 4.1 to find out how water is important as a solvent.
634,What does the following mean: 'Activity 4.1 Take the following materials given in Table 4.1 in equal quantities and dissolve them separately in 5 ml of water in test tubes.'?,Activity 4.1 Take the following materials given in Table 4.1 in equal quantities and dissolve them separately in 5 ml of water in test tubes.
635,What does the following mean: 'Record your observations in the Table 4.1.'?,Record your observations in the Table 4.1.
636,What does the following mean: 'Science | Functions of water 55 Science | Functions of water 54Substances Observations White sugar Sugar crystals disappear.'?,Science | Functions of water 55 Science | Functions of water 54Substances Observations White sugar Sugar crystals disappear.
637,What does the following mean: 'Solution is colourless.'?,Solution is colourless.
638,What does the following mean: 'Glucose Kondis crystals Surgical spirit Coconut oil Laundry blue Paraffin wax Kerosene Common salt Vinegar Turmeric powder Camphor balls Sodium bicarbonate Most of the above substances dissolve in water.'?,Glucose Kondis crystals Surgical spirit Coconut oil Laundry blue Paraffin wax Kerosene Common salt Vinegar Turmeric powder Camphor balls Sodium bicarbonate Most of the above substances dissolve in water.
639,What does the following mean: 'But some dissolve a little and some do not dissolve in water.'?,But some dissolve a little and some do not dissolve in water.
640,What does the following mean: 'Through this activity we examined how some solids and liquids dissolve in water.'?,Through this activity we examined how some solids and liquids dissolve in water.
641,What does the following mean: 'Do gases dissolve in water?'?,Do gases dissolve in water?
642,What does the following mean: 'Let’s do Assignment 4.1 to find it out.'?,Let’s do Assignment 4.1 to find it out.
643,What does the following mean: 'Assignment 4.1 ²Observe and record the positions of fish in a fish tank in which the water is bubbled with air (oxygen).'?,Assignment 4.1 ²Observe and record the positions of fish in a fish tank in which the water is bubbled with air (oxygen).
644,What does the following mean: '²Now observe the positions of fish when the air supply is stopped.'?,²Now observe the positions of fish when the air supply is stopped.
645,"What does the following mean: 'The gases such as oxygen, carbondioxide are soluble in water.'?","The gases such as oxygen, carbondioxide are soluble in water."
646,"What does the following mean: 'Fish use oxygen, dissolved in water for respiration.Water is considered as a solvent because many things dissolve in water.'?","Fish use oxygen, dissolved in water for respiration.Water is considered as a solvent because many things dissolve in water."
647,"What does the following mean: 'Similarly, we can separate the things that are dissolved in water.'?","Similarly, we can separate the things that are dissolved in water."
648,"What does the following mean: 'Therefore, this solvent property of water helps us in day-to-day life as well as in industrial activities.'?","Therefore, this solvent property of water helps us in day-to-day life as well as in industrial activities."
649,What does the following mean: 'Imagine how “water as a solvent” is important in your day-to-day activities.Table 4.1'?,Imagine how “water as a solvent” is important in your day-to-day activities.Table 4.1
650,What does the following mean: 'Science | Functions of water 57 Science | Functions of water 56Let’s do Assignment 4.2 to find out how water is important as a solvent.'?,Science | Functions of water 57 Science | Functions of water 56Let’s do Assignment 4.2 to find out how water is important as a solvent.
651,What does the following mean: 'Assignment 4.2 yList the difficulties that you face when there is no water supply in your kitchen.'?,Assignment 4.2 yList the difficulties that you face when there is no water supply in your kitchen.
652,"What does the following mean: 'yRecord the methods of supplying nutrients for hydroponic cultivation It is clear that this special property of water; acting as a solvent, is important not only for us but also for the aquatic organism to live and for the plants to grow.'?","yRecord the methods of supplying nutrients for hydroponic cultivation It is clear that this special property of water; acting as a solvent, is important not only for us but also for the aquatic organism to live and for the plants to grow."
653,What does the following mean: 'Following are some instances where water is important as a solvent.'?,Following are some instances where water is important as a solvent.
654,"What does the following mean: '²To make drinks by dissolving sugar, colourings and flavours in water ²To dissolve salt and flavours to make food tasty ²To dissolve concentrated acids in water to prepare battery acid, artificial vinegar etc ²To dissolve medicine in water ²To produce vaccines and saline for purposes of health ²Aquatic animals use oxygen that is dissolved in water to breathe ²To remove dirts on clothes and body ²Use coloured water for decorating purposes.'?","²To make drinks by dissolving sugar, colourings and flavours in water ²To dissolve salt and flavours to make food tasty ²To dissolve concentrated acids in water to prepare battery acid, artificial vinegar etc ²To dissolve medicine in water ²To produce vaccines and saline for purposes of health ²Aquatic animals use oxygen that is dissolved in water to breathe ²To remove dirts on clothes and body ²Use coloured water for decorating purposes."
655,What does the following mean: 'Assignment 4.3 Prepare another list of instances where water is used as a solvent.'?,Assignment 4.3 Prepare another list of instances where water is used as a solvent.
656,What does the following mean: 'For extra knowledge ²Dilute sulphuric acid is prepared by dissolving concentrated sulphuric acid in water.'?,For extra knowledge ²Dilute sulphuric acid is prepared by dissolving concentrated sulphuric acid in water.
657,What does the following mean: 'Battery acid contains dilute sulphuric acid.'?,Battery acid contains dilute sulphuric acid.
658,What does the following mean: '²Artificial vinegar is prepared by dissolving acetic acid in water.'?,²Artificial vinegar is prepared by dissolving acetic acid in water.
659,What does the following mean: '²A type of saline solution is prepared by diluting sodium chloride solution to a standard concentration.'?,²A type of saline solution is prepared by diluting sodium chloride solution to a standard concentration.
660,What does the following mean: 'Science | Functions of water 57 Science | Functions of water 56Assignment 4.4 ²Prepare some coloured solutions by dissolving different colours of dye in water.'?,Science | Functions of water 57 Science | Functions of water 56Assignment 4.4 ²Prepare some coloured solutions by dissolving different colours of dye in water.
661,What does the following mean: '²Pour them into glass containers with different shapes.'?,²Pour them into glass containers with different shapes.
662,What does the following mean: '²Prepare a list of instances where such colourful solutions are used in our day-to-day life.'?,²Prepare a list of instances where such colourful solutions are used in our day-to-day life.
663,What does the following mean: 'Figure 4.3 Assignment 4.5 ²Collect some labels of different kinds of soft drinks.'?,Figure 4.3 Assignment 4.5 ²Collect some labels of different kinds of soft drinks.
664,What does the following mean: '²List out the substances that are dissolved in water to prepare them.'?,²List out the substances that are dissolved in water to prepare them.
665,"What does the following mean: 'Uses of separating materials dissolved in water Activity 4.2 You will need :- A common salt solution, spirit lamp, a candle, a lid of a tin Method:-Put some common salt solution on to the lid and heat it as shown in Figure 4.4.'?","Uses of separating materials dissolved in water Activity 4.2 You will need :- A common salt solution, spirit lamp, a candle, a lid of a tin Method:-Put some common salt solution on to the lid and heat it as shown in Figure 4.4."
666,What does the following mean: 'Use a tripod and a wine spirit lamp or an empty box of milk powder with a ventilator at the side and a lighted candle to heat it.'?,Use a tripod and a wine spirit lamp or an empty box of milk powder with a ventilator at the side and a lighted candle to heat it.
667,What does the following mean: 'Record your observations.Figure 4.4'?,Record your observations.Figure 4.4
668,What does the following mean: 'Science | Functions of water 59 Science | Functions of water 58You will observe salt remains on the lid as a white powder.'?,Science | Functions of water 59 Science | Functions of water 58You will observe salt remains on the lid as a white powder.
669,"What does the following mean: 'Different types of salts of minerals are dissolved in water, when rivers, streams and water ways are flowing towards the sea.'?","Different types of salts of minerals are dissolved in water, when rivers, streams and water ways are flowing towards the sea."
670,"What does the following mean: 'When this happen for long period of time, sea water become salty.'?","When this happen for long period of time, sea water become salty."
671,"What does the following mean: 'Thus, sodium chloride is the mineral salt that dissolved most in the sea water.'?","Thus, sodium chloride is the mineral salt that dissolved most in the sea water."
672,"What does the following mean: 'Salt is produced from sea water, by evaporating water exposing to solar heat.'?","Salt is produced from sea water, by evaporating water exposing to solar heat."
673,What does the following mean: 'Figure 4.6 A sugar cane tree The juice in sugar cane contains sucrose dissolved in water.'?,Figure 4.6 A sugar cane tree The juice in sugar cane contains sucrose dissolved in water.
674,What does the following mean: 'Sugar is produced by removing the water in sugar cane.'?,Sugar is produced by removing the water in sugar cane.
675,What does the following mean: 'A sugary solution can be extracted from coconut flower which is known as sweet toddy.'?,A sugary solution can be extracted from coconut flower which is known as sweet toddy.
676,What does the following mean: 'Treacle can be produced by removing some amount of water from this sweet toddy.'?,Treacle can be produced by removing some amount of water from this sweet toddy.
677,What does the following mean: 'If water is totally removed from sweet toddy jaggery can be produced.'?,If water is totally removed from sweet toddy jaggery can be produced.
678,What does the following mean: 'Jaggery and treacle can also be produced from palmyra and kitul trees.'?,Jaggery and treacle can also be produced from palmyra and kitul trees.
679,What does the following mean: 'Assignment 4.6 Design a poster to illustrate the use of water as a solvent.'?,Assignment 4.6 Design a poster to illustrate the use of water as a solvent.
680,What does the following mean: '4.2 Water as a coolant Why do buffaloes wallow in water on hot days?'?,4.2 Water as a coolant Why do buffaloes wallow in water on hot days?
681,"What does the following mean: 'Why do we feel cool when we wash our hands, legs and face with water at a time of sweating?'?","Why do we feel cool when we wash our hands, legs and face with water at a time of sweating?"
682,What does the following mean: 'You will observe salt remains on the lid as a white powder.'?,You will observe salt remains on the lid as a white powder.
683,"What does the following mean: 'Different types of salts of minerals are dissolved in water, when rivers, streams and water ways are flowing towards the sea.'?","Different types of salts of minerals are dissolved in water, when rivers, streams and water ways are flowing towards the sea."
684,"What does the following mean: 'When this happen for long period of time, sea water become salty.'?","When this happen for long period of time, sea water become salty."
685,"What does the following mean: 'Thus, sodium chloride is the mineral salt that dissolved most in the sea water.'?","Thus, sodium chloride is the mineral salt that dissolved most in the sea water."
686,What does the following mean: 'Salt is produced from Figure 4.5 A saltern Figure 4.7 A coconut tree used to get sweet toddy'?,Salt is produced from Figure 4.5 A saltern Figure 4.7 A coconut tree used to get sweet toddy
687,What does the following mean: 'Science | Functions of water 59 Science | Functions of water 58How do you explain the cooling ability of water?'?,Science | Functions of water 59 Science | Functions of water 58How do you explain the cooling ability of water?
688,What does the following mean: 'Water can bear a large amount of heat.'?,Water can bear a large amount of heat.
689,What does the following mean: 'It absorbs the heat and reduces the heat of objects.'?,It absorbs the heat and reduces the heat of objects.
690,What does the following mean: 'Because of this feature water is considered as a good coolant.'?,Because of this feature water is considered as a good coolant.
691,What does the following mean: 'Let’s do Activity 4.3 to observe the coolant property of water.'?,Let’s do Activity 4.3 to observe the coolant property of water.
692,"What does the following mean: 'Activity 4.3 You will need :- Two beakers of similar size, cotton, two thermometers ²Get two beakers of similar size.'?","Activity 4.3 You will need :- Two beakers of similar size, cotton, two thermometers ²Get two beakers of similar size."
693,What does the following mean: 'Put same amount of cotton wool into both beakers.'?,Put same amount of cotton wool into both beakers.
694,What does the following mean: '²As shown in the Figure 4.8 keep two thermometers inside the beakers and get the readings.'?,²As shown in the Figure 4.8 keep two thermometers inside the beakers and get the readings.
695,What does the following mean: '²Put a little amount of water on to cotton wool in one beaker and keep for a few minutes.'?,²Put a little amount of water on to cotton wool in one beaker and keep for a few minutes.
696,What does the following mean: '²Get the readings of the thermometers and compare the readings.Figure 4.8 You can observe that the temperature of the thermometer in wet cotton wool has been reduced.'?,²Get the readings of the thermometers and compare the readings.Figure 4.8 You can observe that the temperature of the thermometer in wet cotton wool has been reduced.
697,What does the following mean: 'Uses of coolant property of water Figure 4.9 ²The energy generated by burning fuel helps a vehicle to run.'?,Uses of coolant property of water Figure 4.9 ²The energy generated by burning fuel helps a vehicle to run.
698,What does the following mean: 'At this process of burning fuel the engine of the vehicle gets heated a lot and stops functioning.'?,At this process of burning fuel the engine of the vehicle gets heated a lot and stops functioning.
699,What does the following mean: 'The heat of the engine is absorbed by water or by a coolant in the radiator and prevents the engine from faltering due to overheat.'?,The heat of the engine is absorbed by water or by a coolant in the radiator and prevents the engine from faltering due to overheat.
700,What does the following mean: '²Water is used as a coolant in factories to avoid overheating of machines while operating.'?,²Water is used as a coolant in factories to avoid overheating of machines while operating.
701,What does the following mean: 'Assignment 4.7 List out some other instances where water is used as a coolant.'?,Assignment 4.7 List out some other instances where water is used as a coolant.
702,What does the following mean: 'Science | Functions of water 61 Science | Functions of water 604.3 Water as a medium of life Can a fish live out of water?'?,Science | Functions of water 61 Science | Functions of water 604.3 Water as a medium of life Can a fish live out of water?
703,"What does the following mean: 'It will die in a few minutes, if it is taken out of water.'?","It will die in a few minutes, if it is taken out of water."
704,What does the following mean: 'Why is it?Fish use oxygen dissolved in water for respiration.'?,Why is it?Fish use oxygen dissolved in water for respiration.
705,"What does the following mean: 'When water pass through their gills, oxygen enters into blood vessels.Fish cannot obtain oxygen if there is no water.'?","When water pass through their gills, oxygen enters into blood vessels.Fish cannot obtain oxygen if there is no water."
706,What does the following mean: 'Lots of fish die during a drought period because they cannot get oxygen without water.'?,Lots of fish die during a drought period because they cannot get oxygen without water.
707,"What does the following mean: '²Many aquatic organisms use water as their living environment (Habitat) e.g.:- Fish - Tilapia, Tuna Amphibian - Toad Reptile - Watersnake, Turtle Mammals - Dolphin, Whale During the Winter season, although the surface water gets frozen, water remains in liquid state under the ice layer, so that fish can survive without any harm during the Winter.'?","²Many aquatic organisms use water as their living environment (Habitat) e.g.:- Fish - Tilapia, Tuna Amphibian - Toad Reptile - Watersnake, Turtle Mammals - Dolphin, Whale During the Winter season, although the surface water gets frozen, water remains in liquid state under the ice layer, so that fish can survive without any harm during the Winter."
708,What does the following mean: 'Some people break these ice layers and do fishing during this season.'?,Some people break these ice layers and do fishing during this season.
709,What does the following mean: 'Water acts as a medium for biological activities taking place in all living beings which live in water and land.'?,Water acts as a medium for biological activities taking place in all living beings which live in water and land.
710,What does the following mean: '²Digestion of food and producing energy through reaction of glucose and oxygen and many other chemical reactions take place in a medium of water.'?,²Digestion of food and producing energy through reaction of glucose and oxygen and many other chemical reactions take place in a medium of water.
711,"What does the following mean: '²The nutrients absorbed to the body after the digestion of food, are transported to the cells by dissolving in blood.'?","²The nutrients absorbed to the body after the digestion of food, are transported to the cells by dissolving in blood."
712,What does the following mean: 'So this process too takes place in a medium of water.'?,So this process too takes place in a medium of water.
713,"What does the following mean: '²Vitamins, minerals, medicine are transported through our body by using a medium of water in blood.'?","²Vitamins, minerals, medicine are transported through our body by using a medium of water in blood."
714,"What does the following mean: '4.3 Water as a medium of life It will die in a few minutes, if it is Fish use oxygen dissolved in water for respiration.'?","4.3 Water as a medium of life It will die in a few minutes, if it is Fish use oxygen dissolved in water for respiration."
715,"What does the following mean: 'When water pass through their gills, oxygen enters Figure 4.10 Many aquatic organisms use water as their living environment Figure 4.11 Fishing by breaking ice layers'?","When water pass through their gills, oxygen enters Figure 4.10 Many aquatic organisms use water as their living environment Figure 4.11 Fishing by breaking ice layers"
716,"What does the following mean: 'Science | Functions of water 61 Science | Functions of water 60 ²Also the excretory materials such as urea produced in our cells, are transported to the excretory organs with the help of blood.'?","Science | Functions of water 61 Science | Functions of water 60 ²Also the excretory materials such as urea produced in our cells, are transported to the excretory organs with the help of blood."
